criterion_id,max_raw_score,anchor_score,anchor_description
C1,10,0,Семья фактически не может участвовать в одном спортивном событии или занятии.
C1,10,5,Совместность возможна эпизодически или требует сильных компромиссов по формату.
C1,10,8,Семья может заниматься в одном месте, но формат не всегда дает полноценное участие каждому.
C1,10,10,Ребенок и взрослый естественно участвуют в одном спортивном дне каждый на своем уровне.
C2,10,0,Разный возраст и уровень делают общий формат практически невозможным.
C2,10,5,Адаптация возможна, но существенно ухудшает занятие для части семьи.
C2,10,8,Есть естественные способы разделить нагрузку по уровню.
C2,10,10,Возраст и подготовка легко разводятся группами, дистанциями, маршрутами или темпом.
C3,10,0,Для первого полноценного занятия нужна длительная предварительная подготовка.
C3,10,5,Нужны обучение технике и специализированная инфраструктура.
C3,10,8,Новичок может начать после короткого инструктажа или вводного занятия.
C3,10,10,Начать можно почти сразу без сложного обучения.
C4,10,0,Очень высокая обязательная стоимость и сложная логистика.
C4,10,5,Заметные расходы на инвентарь, аренду или перевозку.
C4,10,8,Умеренные расходы и бытовая сложность.
C4,10,10,Минимальные обязательные расходы и простая логистика.
C5,10,0,Сильная сезонная зависимость и ограниченная инфраструктура.
C5,10,5,Доступность заметно зависит от сезона или площадки.
C5,10,8,Большую часть года есть реалистичные форматы занятий.
C5,10,10,Практически круглогодичная доступность.
C6,10,0,Один и тот же сценарий быстро повторяется.
C6,10,5,Разнообразие ограничено.
C6,10,8,Есть заметное разнообразие задач, мест или форматов.
C6,10,10,Местность, маршруты, задачи или форматы постоянно меняются и поддерживают долгий интерес.
C7,10,0,Индивидуальный измеримый результат отсутствует.
C7,10,5,Результат есть только в части форматов.
C7,10,8,Большинство участников может иметь собственный измеримый результат.
C7,10,10,Личный результат естественно встроен в основной соревновательный или тренировочный формат.
