source_id,sport,source_class,title,url,checked_at,used_for,note
S01,Спортивное ориентирование,official,Календарь ФСОР 2026,https://rufso.ru/wp-content/uploads/2025/10/2026-%D0%9A%D0%90%D0%9B%D0%95%D0%9D%D0%94%D0%90%D0%A0%D0%AC-%D0%A4%D0%A1%D0%9E%D0%A0-18.pdf,2026-09-18,"C1,C2,C5,C7",Официальный календарь; содержит взрослые и юношеские возрастные группы.
S02,Спортивное ориентирование,official,ФСОР: статистика 2025,https://rufso.ru/%D1%84%D1%81%D0%BE%D1%80-%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B0-2025/,2026-09-18,"C1,C2,C7",Публичная статистика участия и возрастных категорий.
S03,Спортивное ориентирование,official,Всероссийские соревнования: возрастные группы 2026,https://rufso.ru/wp-content/uploads/2026/03/%D0%98%D0%BD%D1%84%D0%BE%D0%91%D1%8E%D0%BB%D0%BB%D0%B5%D1%82%D0%B5%D0%BD%D1%8C_1_%D0%92%D1%81%D1%82%D1%80%D0%B5%D1%87%D0%B0_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82_2026.pdf,2026-09-18,"C1,C2,C7","М12/Ж12, М14/Ж14, М16/Ж16, М18/Ж18 и элита."
S04,Бег,official,Календарь ВФЛА 2026,https://old.rusathletics.info/calendar-2026,2026-09-18,"C2,C5,C7","Есть U12, U14, U16/U18/U23, взрослые и Мастерс."
S05,Настольный теннис,official,ФНТР: актуальная лента и ветеранский контур 2026,https://ttfr.ru/?discipline=2924,2026-09-18,"C2,C5,C7",На сайте в сентябре 2026 опубликован анонс чемпионата России среди ветеранов.
S06,Настольный теннис,official_historical,Чемпионат России среди ветеранов: возрастные группы,https://old.ttfr.ru/rus/news/8225-chempionat-rossii-sredi-veteranov-2019.-itogi/,2026-09-18,"C2,C7",Исторический официальный источник для ветеранских возрастных групп.
S07,Бадминтон,official,Календарь ветеранов НФБР 2026,https://www.badm.ru/index.php?page_id=375,2026-09-18,"C2,C5,C7",Ветеранские категории 35+ ... 75+.
S08,Бадминтон,official,Северное сияние 2026: юношеские группы,https://www.badm.ru/news/badminton/5114,2026-09-18,"C2,C7",Возраст участников 8–18 лет; категории до 11 и старше.
S09,Лыжные гонки,official,Правила ФЛГР: возрастные категории,https://www.flgr.ru/rules/rules1/6760/,2026-09-18,"C2,C7",Возрастные группы включая старшие возрастные категории.
S10,Лыжные гонки,official,Документы ФЛГР 2026,https://www.flgr.ru/flgr/docs/,2026-09-18,"C2,C5,C7",Документы первенств и соревнований 15–20 лет и других возрастов.
S11,Велоспорт,official,ФВСР: календарь профессионалов 2026,https://fvsr.ru/professionals/calendar,2026-09-18,"C2,C7",В календаре присутствуют взрослые и юношеские/юниорские категории.
S12,Велоспорт,official,ФВСР: любительский календарь 2026,https://fvsr.ru/dilettantes/calendar,2026-09-18,"C1,C2,C7",Отдельный любительский соревновательный контур.
S13,Скалолазание,official,ФСР: календарь соревнований 2026,https://c-f-r.ru/competitions/,2026-09-18,"C2,C5,C7",Официальные группы от подростков 10–13 лет до взрослых.
S14,Плавание,official,Федерация плавания Мастерс: календарь 2026,https://swimmasters.ru/meets,2026-09-18,"C2,C5,C7",Календарь соревнований взрослых в категории Мастерс.
S15,Большой теннис,official,ФТР: календарь 2026,https://tennis-russia.ru/upload/docs/calendar_250326.pdf,2026-09-18,"C2,C5,C7","Отдельные категории до 13, 15, 17, 19 лет и взрослые."
S16,Горные лыжи,official,РФГС: соревнования 2026,https://rfgs.ru/sorevnovaniya/,2026-09-18,"C2,C5,C7","Календарь содержит детские, юниорские и взрослые соревнования."
S17,Горные лыжи,official,Положение Мастерс 2025–2026,https://rfgs.ru/data/1763709895/files/1763710093.pdf,2026-09-18,"C2,C7",Отдельный Мастерс-контур с возрастными категориями.
S18,ALL,prior_publication,Sostav: ТОП-10 лучших видов спорта для всей семьи,https://www.sostav.ru/blogs/292167/108174,2026-09-18,provenance,Исходная публичная модель 12.09.2026.
S19,ALL,prior_publication,TenChat: ТОП-10 видов спорта для всей семьи,https://tenchat.ru/media/6133757-top10-vidov-sporta-dlya-vsey-semi-gde-roditeli-tozhe-uchastvuyut--2026,2026-09-18,provenance,Адаптация той же темы.
S20,ALL,prior_publication,vc.ru: ТОП-10 видов спорта для всей семьи,https://vc.ru/life/3135449-luchshie-vidy-sporta-dlya-vsej-semi,2026-09-18,provenance,Адаптация той же темы.
