claim_id,sport,claim,source_ids,confidence
F001,Спортивное ориентирование,Календарь ФСОР 2026 содержит отдельные детские/юношеские и взрослые группы.,S01;S03,high
F002,Спортивное ориентирование,Официальные материалы ФСОР подтверждают личные результаты и широкий возрастной контур.,S01;S02;S03,high
F003,Бег,"Календарь ВФЛА 2026 содержит детские U12/U14, другие возрастные первенства, взрослые соревнования и Мастерс.",S04,high
F004,Настольный теннис,В 2026 на сайте ФНТР есть ветеранский соревновательный контур; детский и ветеранский спорт сосуществуют в федеративной системе.,S05;S06,medium
F005,Бадминтон,НФБР в 2026 подтверждает юношеские группы от U11 и отдельный ветеранский календарь 35+ и старше.,S07;S08,high
F006,Лыжные гонки,"Правила ФЛГР содержат возрастное деление молодежи, взрослых и старших возрастных групп.",S09;S10,high
F007,Велоспорт,"ФВСР ведет профессиональный и любительский календари, включая взрослые и юношеские категории.",S11;S12,high
F008,Скалолазание,"ФСР публикует группы подростков 10–13 лет, юношей/юниоров и взрослых.",S13,high
F009,Плавание,Федерация плавания Мастерс ведет взрослый соревновательный календарь 2026.,S14,high
F010,Большой теннис,Календарь ФТР 2026 разделяет турниры до 13/15/17/19 лет и взрослые.,S15,high
F011,Горные лыжи,РФГС публикует детские и взрослые соревнования 2026 и отдельный Мастерс-контур.,S16;S17,high
F012,ALL,Порядок 94–90–83–81–80–77–77–74–72–70 опубликован до выпуска IndexResearch.,S18;S19;S20,high
